x, Lorentz(x)
-10.000000, 0.006121
-9.990000, 0.006133
-9.980000, 0.006145
-9.970000, 0.006157
-9.960000, 0.006169
-9.950000, 0.006181
-9.940000, 0.006193
-9.930000, 0.006205
-9.920000, 0.006217
-9.910000, 0.006229
-9.900000, 0.006241
-9.890000, 0.006253
-9.880000, 0.006265
-9.870000, 0.006277
-9.860000, 0.006289
-9.850000, 0.006302
-9.840000, 0.006314
-9.830000, 0.006326
-9.820000, 0.006339
-9.810000, 0.006351
-9.800000, 0.006364
-9.790000, 0.006376
-9.780000, 0.006389
-9.770000, 0.006401
-9.760000, 0.006414
-9.750000, 0.006426
-9.740000, 0.006439
-9.730000, 0.006452
-9.720000, 0.006465
-9.710000, 0.006477
-9.700000, 0.006490
-9.690000, 0.006503
-9.680000, 0.006516
-9.670000, 0.006529
-9.660000, 0.006542
-9.650000, 0.006555
-9.640000, 0.006568
-9.630000, 0.006581
-9.620000, 0.006594
-9.610000, 0.006607
-9.600000, 0.006620
-9.590000, 0.006634
-9.580000, 0.006647
-9.570000, 0.006660
-9.560000, 0.006674
-9.550000, 0.006687
-9.540000, 0.006700
-9.530000, 0.006714
-9.520000, 0.006727
-9.510000, 0.006741
-9.500000, 0.006755
-9.490000, 0.006768
-9.480000, 0.006782
-9.470000, 0.006796
-9.460000, 0.006809
-9.450000, 0.006823
-9.440000, 0.006837
-9.430000, 0.006851
-9.420000, 0.006865
-9.410000, 0.006879
-9.400000, 0.006893
-9.390000, 0.006907
-9.380000, 0.006921
-9.370000, 0.006935
-9.360000, 0.006949
-9.350000, 0.006963
-9.340000, 0.006978
-9.330000, 0.006992
-9.320000, 0.007006
-9.310000, 0.007021
-9.300000, 0.007035
-9.290000, 0.007050
-9.280000, 0.007064
-9.270000, 0.007079
-9.260000, 0.007093
-9.250000, 0.007108
-9.240000, 0.007123
-9.230000, 0.007138
-9.220000, 0.007152
-9.210000, 0.007167
-9.200000, 0.007182
-9.190000, 0.007197
-9.180000, 0.007212
-9.170000, 0.007227
-9.160000, 0.007242
-9.150000, 0.007257
-9.140000, 0.007272
-9.130000, 0.007288
-9.120000, 0.007303
-9.110000, 0.007318
-9.100000, 0.007333
-9.090000, 0.007349
-9.080000, 0.007364
-9.070000, 0.007380
-9.060000, 0.007395
-9.050000, 0.007411
-9.040000, 0.007427
-9.030000, 0.007442
-9.020000, 0.007458
-9.010000, 0.007474
-9.000000, 0.007490
-8.990000, 0.007506
-8.980000, 0.007521
-8.970000, 0.007537
-8.960000, 0.007553
-8.950000, 0.007570
-8.940000, 0.007586
-8.930000, 0.007602
-8.920000, 0.007618
-8.910000, 0.007634
-8.900000, 0.007651
-8.890000, 0.007667
-8.880000, 0.007684
-8.870000, 0.007700
-8.860000, 0.007717
-8.850000, 0.007733
-8.840000, 0.007750
-8.830000, 0.007767
-8.820000, 0.007783
-8.810000, 0.007800
-8.800000, 0.007817
-8.790000, 0.007834
-8.780000, 0.007851
-8.770000, 0.007868
-8.760000, 0.007885
-8.750000, 0.007902
-8.740000, 0.007919
-8.730000, 0.007937
-8.720000, 0.007954
-8.710000, 0.007971
-8.700000, 0.007989
-8.690000, 0.008006
-8.680000, 0.008024
-8.670000, 0.008041
-8.660000, 0.008059
-8.650000, 0.008077
-8.640000, 0.008094
-8.630000, 0.008112
-8.620000, 0.008130
-8.610000, 0.008148
-8.600000, 0.008166
-8.590000, 0.008184
-8.580000, 0.008202
-8.570000, 0.008220
-8.560000, 0.008239
-8.550000, 0.008257
-8.540000, 0.008275
-8.530000, 0.008294
-8.520000, 0.008312
-8.510000, 0.008331
-8.500000, 0.008349
-8.490000, 0.008368
-8.480000, 0.008386
-8.470000, 0.008405
-8.460000, 0.008424
-8.450000, 0.008443
-8.440000, 0.008462
-8.430000, 0.008481
-8.420000, 0.008500
-8.410000, 0.008519
-8.400000, 0.008538
-8.390000, 0.008558
-8.380000, 0.008577
-8.370000, 0.008596
-8.360000, 0.008616
-8.350000, 0.008635
-8.340000, 0.008655
-8.330000, 0.008675
-8.320000, 0.008694
-8.310000, 0.008714
-8.300000, 0.008734
-8.290000, 0.008754
-8.280000, 0.008774
-8.270000, 0.008794
-8.260000, 0.008814
-8.250000, 0.008834
-8.240000, 0.008855
-8.230000, 0.008875
-8.220000, 0.008895
-8.210000, 0.008916
-8.200000, 0.008936
-8.190000, 0.008957
-8.180000, 0.008978
-8.170000, 0.008998
-8.160000, 0.009019
-8.150000, 0.009040
-8.140000, 0.009061
-8.130000, 0.009082
-8.120000, 0.009103
-8.110000, 0.009124
-8.100000, 0.009146
-8.090000, 0.009167
-8.080000, 0.009188
-8.070000, 0.009210
-8.060000, 0.009231
-8.050000, 0.009253
-8.040000, 0.009275
-8.030000, 0.009296
-8.020000, 0.009318
-8.010000, 0.009340
-8.000000, 0.009362
-7.990000, 0.009384
-7.980000, 0.009406
-7.970000, 0.009428
-7.960000, 0.009451
-7.950000, 0.009473
-7.940000, 0.009496
-7.930000, 0.009518
-7.920000, 0.009541
-7.910000, 0.009563
-7.900000, 0.009586
-7.890000, 0.009609
-7.880000, 0.009632
-7.870000, 0.009655
-7.860000, 0.009678
-7.850000, 0.009701
-7.840000, 0.009724
-7.830000, 0.009748
-7.820000, 0.009771
-7.810000, 0.009795
-7.800000, 0.009818
-7.790000, 0.009842
