x, sin(x)
0.000000, 0.000000
0.031416, 0.031411
0.062832, 0.062791
0.094248, 0.094108
0.125664, 0.125333
0.157080, 0.156434
0.188496, 0.187381
0.219911, 0.218143
0.251327, 0.248690
0.282743, 0.278991
0.314159, 0.309017
0.345575, 0.338738
0.376991, 0.368125
0.408407, 0.397148
0.439823, 0.425779
0.471239, 0.453990
0.502655, 0.481754
0.534071, 0.509041
0.565487, 0.535827
0.596903, 0.562083
0.628319, 0.587785
0.659734, 0.612907
0.691150, 0.637424
0.722566, 0.661312
0.753982, 0.684547
0.785398, 0.707107
0.816814, 0.728969
0.848230, 0.750111
0.879646, 0.770513
0.911062, 0.790155
0.942478, 0.809017
0.973894, 0.827081
1.005310, 0.844328
1.036726, 0.860742
1.068142, 0.876307
1.099557, 0.891007
1.130973, 0.904827
1.162389, 0.917755
1.193805, 0.929776
1.225221, 0.940881
1.256637, 0.951057
1.288053, 0.960294
1.319469, 0.968583
1.350885, 0.975917
1.382301, 0.982287
1.413717, 0.987688
1.445133, 0.992115
1.476549, 0.995562
1.507964, 0.998027
1.539380, 0.999507
1.570796, 1.000000
1.602212, 0.999507
1.633628, 0.998027
1.665044, 0.995562
1.696460, 0.992115
1.727876, 0.987688
1.759292, 0.982287
1.790708, 0.975917
1.822124, 0.968583
1.853540, 0.960294
1.884956, 0.951057
1.916372, 0.940881
1.947787, 0.929776
1.979203, 0.917755
2.010619, 0.904827
2.042035, 0.891007
2.073451, 0.876307
2.104867, 0.860742
2.136283, 0.844328
2.167699, 0.827081
2.199115, 0.809017
2.230531, 0.790155
2.261947, 0.770513
2.293363, 0.750111
2.324779, 0.728969
2.356194, 0.707107
2.387610, 0.684547
2.419026, 0.661312
2.450442, 0.637424
2.481858, 0.612907
2.513274, 0.587785
2.544690, 0.562083
2.576106, 0.535827
2.607522, 0.509041
2.638938, 0.481754
2.670354, 0.453990
2.701770, 0.425779
2.733186, 0.397148
2.764602, 0.368125
2.796017, 0.338738
2.827433, 0.309017
2.858849, 0.278991
2.890265, 0.248690
2.921681, 0.218143
2.953097, 0.187381
2.984513, 0.156434
3.015929, 0.125333
3.047345, 0.094108
3.078761, 0.062791
3.110177, 0.031411
3.141593, 0.000000
3.173009, -0.031411
3.204425, -0.062791
3.235840, -0.094108
3.267256, -0.125333
3.298672, -0.156434
3.330088, -0.187381
3.361504, -0.218143
3.392920, -0.248690
3.424336, -0.278991
3.455752, -0.309017
3.487168, -0.338738
3.518584, -0.368125
3.550000, -0.397148
3.581416, -0.425779
3.612832, -0.453990
3.644247, -0.481754
3.675663, -0.509041
3.707079, -0.535827
3.738495, -0.562083
3.769911, -0.587785
3.801327, -0.612907
3.832743, -0.637424
3.864159, -0.661312
3.895575, -0.684547
3.926991, -0.707107
3.958407, -0.728969
3.989823, -0.750111
4.021239, -0.770513
4.052655, -0.790155
4.084070, -0.809017
4.115486, -0.827081
4.146902, -0.844328
4.178318, -0.860742
4.209734, -0.876307
4.241150, -0.891007
4.272566, -0.904827
4.303982, -0.917755
4.335398, -0.929776
4.366814, -0.940881
4.398230, -0.951057
4.429646, -0.960294
4.461062, -0.968583
4.492477, -0.975917
4.523893, -0.982287
4.555309, -0.987688
4.586725, -0.992115
4.618141, -0.995562
4.649557, -0.998027
4.680973, -0.999507
4.712389, -1.000000
4.743805, -0.999507
4.775221, -0.998027
4.806637, -0.995562
4.838053, -0.992115
4.869469, -0.987688
4.900885, -0.982287
4.932300, -0.975917
4.963716, -0.968583
4.995132, -0.960294
5.026548, -0.951057
5.057964, -0.940881
5.089380, -0.929776
5.120796, -0.917755
5.152212, -0.904827
5.183628, -0.891007
5.215044, -0.876307
5.246460, -0.860742
5.277876, -0.844328
5.309292, -0.827081
5.340708, -0.809017
5.372123, -0.790155
5.403539, -0.770513
5.434955, -0.750111
5.466371, -0.728969
5.497787, -0.707107
5.529203, -0.684547
5.560619, -0.661312
5.592035, -0.637424
5.623451, -0.612907
5.654867, -0.587785
5.686283, -0.562083
5.717699, -0.535827
5.749115, -0.509041
5.780530, -0.481754
5.811946, -0.453990
5.843362, -0.425779
5.874778, -0.397148
5.906194, -0.368125
5.937610, -0.338738
5.969026, -0.309017
6.000442, -0.278991
6.031858, -0.248690
6.063274, -0.218143
6.094690, -0.187381
6.126106, -0.156434
6.157522, -0.125333
6.188938, -0.094108
6.220353, -0.062791
6.251769, -0.031411
6.283185, -0.000000
